Club Name,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,woman women,man men,Greek,lgbtq,Christian,Islam,Jewish,Hindu,Buddhism,Muslim,Sikh,Description
Alpha Pi Mu at Cal Poly,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2139654967253557,0.31254759980640223,0.5713813105447301,0.4037873654002668,0.2657613490490661,0.2695731253828134,0.36123621761761543,Alpha Pi Mu at Cal Poly We are the national honor society for Industrial Engineering students. We recognize the leaders in our department and give back to our community on and off campus.
Alpha Sigma Mu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1527173715233905,0.22084760297039646,0.42471073755862265,0.2777727033098283,0.10724390960619555,0.09539106271710751,0.12478709347322794,Alpha Sigma Mu Honors organization for the Materials Engineering Department.
Alpha Sigma Phi Iota Chi (ΑΣΦ IX),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3489073186826151,0.4754944500915831,0.6766044791618485,0.4093028411252873,0.3922246287922022,0.2656842011272422,0.35298067924047594,"Alpha Sigma Phi Iota Chi (ΑΣΦ IX) The purpose of Alpha Sigma Phi is to Better the Man through the creation and perpetuation of brotherhood founded upon the values of character: Silence, Charity, Purity, Honor, Patriotism."
Alpha Tau Alpha,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3523253491303278,0.4127585926277276,0.5621285289382337,0.530956021824551,0.3172271413125526,0.2927815030425175,0.3099627254246082,Alpha Tau Alpha Alpha Tau Alpha is a professional fraternity for current and future agriculture teachers.
American Chemical Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.18322094226931895,0.33026418522934187,0.45282295403707534,0.28421348895176146,0.2964138960493311,0.20447419602747494,0.20870836742023782,American Chemical Society The American Chemical Society (ACS) is the registered Cal Poly SLO chapter of the national organization of the same name and provides those interested in chemistry with a place to foster friendships and gain professional knowledge in the field.
American Indian Students Association,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18783428824149512,0.3941915697653131,0.6013243071518863,0.7859490046132152,0.35668636187851865,0.40962549376570523,0.5653128439014788,American Indian Students Association The American Indian Students Association (AISA) strives to create an inclusive environment and welcoming community for anyone who identifies as 'indigenous' or wants to be an ally for indigenous students on Cal Poly's campus.
American Institute of Aeronautics and Astronautics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21245881676339062,0.3077389088530631,0.5109912815719692,0.25870244928534925,0.18914164247365545,0.2222313459749798,0.1916039576281884,American Institute of Aeronautics and Astronautics We host speakers from the industry once or twice a month to share about different opportunities within the field or lecture on interesting subjects within the aerospace industry.
American Institute of Architecture Students,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11007015778667466,0.39032757288343634,0.42646067017477607,0.375655348486573,0.19018224370524783,0.2164791888124396,0.15179644085889854,"American Institute of Architecture Students The AIAS is the country's largest organization for students of architecture, providing the best programs, information and resources available. The AIAS is the student affiliate of the AIA and your link to professionals in architecture."
American Marketing Association,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2191051246001341,0.3878245632893492,0.43232958372965435,0.2661219061289043,0.17485274981595897,0.33222995785204656,0.16878167848639883,American Marketing Association The American Marketing Association aims to provide students interested in the fields of marketing and sales with the tools and tips needed to create a successful career and future.
American Sign Language Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3468913300422486,0.5429009295372955,0.6706085288753377,0.4605881789872261,0.3854145965034508,0.42313101749202053,0.39395792503830396,American Sign Language Club A group dedicated to learning American Sign Language and Deaf culture.
"American Society of Landscape Architecture, Student Chapter",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.22326560455042127,0.3419178944875621,0.3219387628247151,0.22032979821767115,0.3282693622830216,0.17588020697588538,0.10078257513295011,"American Society of Landscape Architecture, Student Chapter This organization helps students pursuing landscape architecture to learn more about the field, build connections, and engage in educational and professional events."
Analogue Design Lab,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09975421353293762,0.13402764584873592,0.28330282773593163,0.12755599750123459,0.18951229887720156,0.11979310072952722,0.0,"Analogue Design Lab Analogue Design Lab designs and produces products for competitions, design challenges, and based on student interests. If you're seeking to make an idea reality or just want to learn more about engineering design, ADL is for you!"
Argentine Cultural Society at Cal Poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.17486354808975288,0.28412231006950145,0.5799824638207381,0.39468534938664285,0.22281813489175237,0.20728617752734144,0.3038000726978928,"Argentine Cultural Society at Cal Poly Organize and host events such as mate gatherings, asados (barbecue cookouts), and alfajor-making workshops, providing authentic spaces where members can enjoy traditional Argentine food and customs together."
Armenian Students Association,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.36277003317497214,0.649231031958138,0.7680208384791181,0.5473819872685355,0.5964030148997602,0.572399881372254,0.5588109152209335,"Armenian Students Association A cultural club aimed to unite, educate, and foster a social environment for students of Armenian heritage."
Asexual Association,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.34034918145273535,0.6197967112974075,0.6544929793042161,0.39633223912141746,0.37087544844324793,0.4655241107829362,0.36997562907444015,"Asexual Association A social club for aromantics, asexuals, and allies to connect and build community."
Associated General Contractors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23249441115077515,0.2425201103612245,0.29926780219312965,0.2858384603185866,0.13603751618318594,0.25103023377717515,0.31552143032988256,"Associated General Contractors We are a student chapter of a national organization for construction companies & vendors, the AGC. We offer a unique point of view on the construction industry as well as access to these companies for professional development and networking."
Associated Students in Planning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09873156278079057,0.1727283065363285,0.26790662304346075,0.29635847925338965,0.16140280099709742,0.21549880000150445,0.31065892727134115,Associated Students in Planning Cal Poly ASP is a professional club for CRP (City and Regional Planning) majors and non-majors to enhance their academic careers by helping to expose them to the City Planning profession. Meetings are weekly. Please contact calpolyasp@gmail.com for more.
Associated Students of Construction Management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15376953416591238,0.2835764796128929,0.2633271436776918,0.2783598917439782,0.1658042094420862,0.2753212010599604,0.28232746569566114,"Associated Students of Construction Management ASCM offers students the opportunity to learn and be involved in the construction management profession, to network and develop relationships with potential employers, and meet fellow students. The student chapter upholds the ideals and standards of"
"Associated Students, Inc. (ASI)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23418349885160497,0.36799092030368263,0.5229781865025013,0.4247294909081038,0.22916941755100273,0.2973060942706114,0.3504920378311883,"Associated Students, Inc. (ASI) Connecting students to their ultimate college experience."
Association for Materials Protection and Performance - Cal Poly Chapter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24471723479222124,0.2680263667108014,0.36294421253015896,0.2467645286276982,0.23932421354184938,0.21609342749909838,0.24230381852791544,"Association for Materials Protection and Performance - Cal Poly Chapter The AMPP California Central Coast student chapter is a group of hardworking students looking outside the classroom to expand their education and make lifelong connections by hosting industry talks, performing meaningful experiments, and outreach."
Association for Women in Mathematics - Cal Poly Student Chapter,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22923096205677712,0.5386894459514483,0.7477841622998747,0.4474968533271868,0.28111907328523383,0.535845847450792,0.43655389087336105,Association for Women in Mathematics - Cal Poly Student Chapter A society that aims to support women and minorities in mathematics and to influence the culture of mathematics as a whole.
Association of Environmental Professionals,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2759676087442568,0.3030854194164517,0.36675085115920525,0.3766576167578721,0.3626448349733328,0.28968319593957675,0.2867163767640273,"Association of Environmental Professionals The Cal Poly Student Chapter of Association of Environmental Professionals promotes networking and professional development in the field of natural resources management in order to enhance, maintain, and protect the natural and human environment."
Association of Transfer Students,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.17157932561032768,0.3775955909671142,0.45178828277131644,0.3136785379055612,0.23554795664912093,0.25550337460834105,0.26930769029576895,Association of Transfer Students The Association of Transfer Students (ATS) is a social club designed to help transfers build community and make their transition to our campus as fun and easy as possible.
AWS Cloud Club Cal Poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.22989947945379083,0.39644325597390434,0.4070911064984497,0.15274974096203656,0.18996824365163095,0.2965789142663795,0.11430239536920314,"AWS Cloud Club Cal Poly AWS Cloud Club teaches students about AWS Cloud and its use cases, including those related to security, AW, business analytics, business transformation, etc. Gives students hands-on experience through projects in the AWS Cloud, providing industry skills."
AWWA Cal Poly San Luis Obispo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09302839307564102,0.29254205798067806,0.3886585042345359,0.3416613646678289,0.19338771259088988,0.2505966630165465,0.1420124108635331,"AWWA Cal Poly San Luis Obispo Cal Poly WaterWorks aims to enhance students' understanding of water resource engineering, planning, and management."
Badminton Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3391119335436761,0.34604881366104945,0.36043915169862983,0.3706067185214852,0.24758342095096753,0.34745316007961824,0.3858301501576289,"Badminton Club Join us if you love badminton! All skills levels welcome, proud member of SCCBL (Southern California Collegiate Badminton League)."
Baha'i Club at Cal Poly,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5973610386772324,0.8638251142941108,0.7849732318734177,0.6108979887486504,0.7569875124151358,0.739054006409743,0.6702123445416809,"Baha'i Club at Cal Poly The second most geographically widespread religion in the world, the Bahá'í Faith emphasizes unity, peace, and the fundamental oneness of God, oneness of religion, and the oneness of mankind."
Best Buddies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1936147128609373,0.2595734037683586,0.3110742108752091,0.08917533837150216,0.1916153688215933,0.1847754831301622,0.1929425621011176,Best Buddies Best Buddies is an organization that is dedicated to establishing a global volunteer movement that creates opportunities for individuals with intellectual & developmental disabilities.
"Beta Lambda Chapter of Alpha Epsilon Phi Sorority, Incorporated",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.27875122995234586,0.4105995188794431,0.5792616826948717,0.28467165546659096,0.3427720212564124,0.20774687519110197,0.22971439828307572,"Beta Lambda Chapter of Alpha Epsilon Phi Sorority, Incorporated Alpha Epsilon Phi is a sorority that fosters lifelong friendship and sisterhood, academics, social involvement, and community service, all the while providing a home away from home for its members."
Biomedical Engineering Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2124015904402423,0.20405662748333825,0.38770265765559775,0.30093690605508905,0.20521644868560174,0.11302373432511108,0.20892470879062167,"Biomedical Engineering Society BMES is dedicated to enriching the biomedical engineering student experience by providing an inclusive environment for students to build relationships, explore the field of biomedical engineering, & gain professional skills"
Biotechnology Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21802215950511877,0.37393073229057844,0.4888705766288317,0.35035900405602904,0.18109255896427037,0.2459932489724199,0.20166167612800845,"Biotechnology Club The Biotechnology Club provides opportunities for students to gain a better understanding of the field of biotechnology, learn more about career paths in biotech, and gain valuable connections through club events."
Black Academic Excellence Center (BAEC),0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3481832355893719,0.4923902622481464,0.7434608186354434,0.3618505388751603,0.3132018366632514,0.38458205659223277,0.33330720774643474,"Black Academic Excellence Center (BAEC) Uplifting the Black student experience, our program unites the Black diaspora by nurturing growth through our shared experiences, along with educational, and social engagements that produce joy and unity. Register for this quarter’s events in our profile"
Black Student Union,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3389735355279499,0.5808797479084132,0.7641560128994369,0.4485017170380367,0.41407808572381166,0.4454404723713389,0.4295988882568127,Black Student Union A club for black students and their allies to engage in fun and educational social activities.
Blockchain at Cal Poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3415475445696716,0.4428981524069775,0.5724934224586529,0.4345293706130523,0.2336525238926742,0.4512061207236515,0.3469937978445034,"Blockchain at Cal Poly Blockchain at Cal Poly is an education, research, and development platform teaching student and faculty about the applications of blockchain technology and how to develop decentralized applications."
BMED Graduate Student Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.33092117425703366,0.3228870355957642,0.559766392619369,0.38083570296170605,0.31790602012341973,0.2828701242094908,0.271454915696114,"BMED Graduate Student Club The BMED Graduate Students Club at Cal Poly fosters community among masters level biomedical engineering students, providing a space for socializing and professional development."
Burmese Student Association,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25485001951578706,0.4191979564742161,0.6000935118757396,0.49901575693732414,0.40713913398528423,0.3967131644898513,0.46188903260474345,"Burmese Student Association Burmese Student Association at Cal Poly SLO is a cultural/social club for creating a sense of community among its members and representing Burmese culture on campus through the celebration of Burmese food, events, and major holidays."
"CAED Diversity, Equity, and Inclusion Club",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.321669243271345,0.33705808222986156,0.6236543049465968,0.33020121323702745,0.24866316029916194,0.3293112221764235,0.3462409286621343,"CAED Diversity, Equity, and Inclusion Club The CAED DEI Club seeks to improve and advocate for the academic, social, and professional circumstances of underrepresented and minority students within CAED as a way of increasing representation and active participation in college affairs."
Cal Poly 3D Printed Aircraft Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07467653288863528,0.08994597997951553,0.37365126661321385,0.19018778302792072,0.026448488028264994,0.07767901805869232,0.05505724200662114,Cal Poly 3D Printed Aircraft Club Our club is dedicated to researching and constructing the next generation of 3D printed RC aircraft for both competition and materials research.
Cal Poly Accounting Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10419963715985976,0.13599533939503047,0.274083362099908,0.26070539046602187,0.08139747771330008,0.16330376879903616,0.16360540320508113,Cal Poly Accounting Club CPAC helps students develop professionally and connect with job opportunities in the accounting profession. CPAC creates a community of students and professionals who give back and help students progress into their careers.
Cal Poly Alpine Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08979577286733646,0.11216782378127155,0.3606346451115231,0.15430665793940193,0.08550538112419409,0.10918451921843317,0.27999234566267256,"Cal Poly Alpine Club Cal Poly Alpine Club is designed to facilitate safe travel through the backcountry by providing gear, partners, weather assessments, and educational resources."
Cal Poly Amateur Radio Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24573894949810882,0.2927059570274315,0.5169823672492362,0.33534423148082443,0.3147671016185293,0.2872678341757956,0.3662080289550781,"Cal Poly Amateur Radio Club A club devoted to the application of amateur radio, the use of the radio frequency spectrum for noncommercial purposes including experimentation, public service, radio communication, and emergency communication."
Cal Poly American Medical Student Association,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.18055434861218733,0.3162990883689775,0.49069234822189856,0.43009021652633034,0.26224361928421747,0.2717007145664035,0.30808886448686756,Cal Poly American Medical Student Association AMSA is a pre-medical club focused on preparing students for a career in healthcare. We act as a valuable source of information and provide opportunities and experiences in order to help students thrive in their preparation for medical school.
Cal Poly Andaaz Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1705425408706407,0.3336357734176678,0.5728119315204534,0.3937120595550988,0.21265859921525218,0.24302288877506545,0.3192857100544566,Cal Poly Andaaz Club Cal Poly Andaaz is SLO's first competitive Co-ed Film Song Dance Team. Our music especially comes from Indian films mixed with various western pop music.
Cal Poly Animation Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24128884253010086,0.22892852025792215,0.559948496072475,0.3721330989024386,0.22219018497714038,0.21374254415004043,0.24731199977108032,"Cal Poly Animation Club The Cal Poly Animation Club is creating animated short films while hosting guest speakers, workshops and tours."
Cal Poly Archaeology Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08584305475941523,0.20653274139928957,0.47963166816721575,0.3674514736143805,0.26375987718838184,0.1471030438547944,0.3317498653723319,Cal Poly Archaeology Club The Cal Poly Archaeology Club aims to promote knowledge of the archaeological discipline and provide a network for members to connect with both professionals and their peers.
Cal Poly Archery Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0084478392606685,0.24281283509496887,0.3423548317067958,0.31224467661061306,0.17109650348649652,0.17456465490762402,0.3017905388847407,Cal Poly Archery Club The Archery Club focuses on developing an individual's archery shooting skills. The club focuses on recreational archery for both beginners and experts.
Cal Poly Astronomical Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21464194408237525,0.17781691383241632,0.5059934278965326,0.40520030840489046,0.2937358957424462,0.1698861390945148,0.3157721035895663,"Cal Poly Astronomical Society The Cal Poly Astro Society welcomes all who have a passion for space, no prior experience necessary. Throughout the year, we organize stargazing events, guest speakers, and quarterly camping trips. Hope to see you all on our next astronomical adventures!"
Cal Poly Audio Engineering Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14050848128814297,0.22648873182827606,0.48792830018039346,0.2858123987719047,0.1624476095112973,0.16278059689704028,0.29094445276259107,"Cal Poly Audio Engineering Society The Audio Engineering Society provides education in engineering audio gear including speakers, mixers, amplifiers, pedals, microphones, and more!"
Cal Poly Ballroom Dance Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.04332598643789008,0.19084579654038644,0.2823488770442661,0.28952090090802285,0.15176585137385923,0.15297032885488981,0.3302637846272362,"Cal Poly Ballroom Dance Club Ballroom dancing encompasses a wide variety of partner dances. The basic 6 dances in ballroom dancing are Waltz, Foxtrot, Tango, Cha Cha, Rumba, and East Coast Swing, although there are many more. No experience or partner required!"
Cal Poly Barbell Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25409820955061746,0.210992165038361,0.3960474034386531,0.33897771588937614,0.3027064585482383,0.23099621745206936,0.34381655509349607,"Cal Poly Barbell Club Previously the Cal Poly Powerlifting Club, we have expanded our focus to all strength-training athletes! We have created an uplifting fitness community that prioritizes mindful training while still having a team-focused bond."
Cal Poly Bowling Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20515399882818203,0.3424118920865188,0.4909745119371942,0.31981454989125346,0.26217609499545486,0.2764970171028168,0.41623199371141495,Cal Poly Bowling Club We are a competitive bowling team that travels within the west coast region to numerous collegiate bowling tournaments.
Cal Poly CalGeo Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07285017291542126,0.13119748408573068,0.3412131349428846,0.23601362867689252,0.18088847978692554,0.1700875057234823,0.1933044410081729,Cal Poly CalGeo Club The goal of Cal Poly CalGeo is to propagate and preserve the interest of Geotechnical Engineering among Cal Poly students & to provide our members with academic and professional connections to ensure their success.
Cal Poly CHAARG,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.32450693747730947,0.39228376413624955,0.6615920657273243,0.5660870819973169,0.4422606981246615,0.45691156368391805,0.44324079091539104,"Cal Poly CHAARG CHAARG is an acronym that stands for *Changing Health, Attitudes, + Actions to Recreate Girls*. We are a community seeking to make fitness fun + support others who want to live a healthy + happy life."
Cal Poly Chess Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16679711813684975,0.3522132830557607,0.68326096803955,0.3767232408991745,0.26667977027431866,0.28514217429502786,0.42604882363652485,Cal Poly Chess Club This club is to promote and help people learn chess.
Cal Poly Classical Literature Book Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23852137978169435,0.3130076639125179,0.5182304752929608,0.3934511583518149,0.3636171847315143,0.24924976587178926,0.35103304155741033,"Cal Poly Classical Literature Book Club The Cal Poly Classical Literature Club is a discussion-based club aiming to help members reach a better understanding of modern art, language, and media through reading classics."
Cal Poly Climbing Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21310044693130203,0.23358035516042625,0.46609498390322096,0.32557359214072323,0.21908611939360356,0.2434049638663173,0.26841397459959765,Cal Poly Climbing Club The Cal Poly Climbing Club functions as an organization that supports social events that allow fellow climbers to meet one another and climb together. We also support a competition team that competes through USA Climbing as a recognized collegiate team.
Cal Poly Club Baseball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21643752959119,0.1869923969667381,0.44582558217088286,0.27702910987852863,0.2394502242530325,0.18497729203613048,0.13706785213512032,Cal Poly Club Baseball Club baseball team that is a member of the National Club Baseball Association (NCBA) and competes in the Sothern Pacific - West Conference. The club typically consists of a 26-32 player roster.
Cal Poly Club Field Hockey,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2288473883363984,0.10761927118428856,0.4180179852301946,0.15891872276871966,0.1484204773560771,0.168802257465392,0.24099140215208575,"Cal Poly Club Field Hockey In the fall, we play other college field hockey club teams and, compete in tournaments such as Cal Cup in the spring. We consist of around 35 members who loving playing field hockey and being in a team environment."
Cognitive Neuroscience Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.31043556863336225,0.3113601071723604,0.4366292922724061,0.3284065858445203,0.3778128419289578,0.2143740948122092,0.1593998594910413,Cognitive Neuroscience Club A club dedicated to providing students with opportunities to learn about cognitive neuroscience and expand their social and professional networks in the field.
Cal Poly College Republican Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4161355915437942,0.5013190263685069,0.637597912954877,0.5478413562576523,0.5436220832291008,0.47789237666287443,0.5139125148338086,"Cal Poly College Republican Club A community of Conservatives united around the ideas of individual freedom, free speech, a strong national defense, free enterprise, and traditional values."
Cal Poly Communication Studies Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.18715887333417042,0.2842679436123723,0.39651444687394644,0.3256083091211365,0.30193296782046264,0.22961405655211437,0.2743426442902651,"Cal Poly Communication Studies Club Cal Poly COMS Club is a dynamic organization designed for students who are interested in understanding the communication field with a focus on academic, professional, and social experiences."
